frame_index,time_seconds,num_hands,left_wrist_x,left_wrist_y,left_pinch_m,right_wrist_x,right_wrist_y,right_pinch_m
116,1.934115,0,nan,nan,nan,nan,nan,nan
117,1.950788,0,nan,nan,nan,nan,nan,nan
118,1.967462,0,nan,nan,nan,nan,nan,nan
119,1.984135,0,nan,nan,nan,nan,nan,nan
120,2.000808,0,nan,nan,nan,nan,nan,nan
121,2.017482,0,nan,nan,nan,nan,nan,nan
122,2.034155,0,nan,nan,nan,nan,nan,nan
123,2.050829,0,nan,nan,nan,nan,nan,nan
124,2.067502,0,nan,nan,nan,nan,nan,nan
125,2.084176,1,nan,nan,nan,0.915486,1.121344,0.074697
126,2.100849,1,nan,nan,nan,0.897613,1.141771,0.069051
127,2.117522,1,nan,nan,nan,0.899809,1.143604,0.071339
128,2.134196,1,nan,nan,nan,0.899543,1.144663,0.071393
129,2.150869,1,nan,nan,nan,0.897714,1.142525,0.071050
130,2.167543,1,nan,nan,nan,0.900077,1.135783,0.069699
131,2.184216,1,nan,nan,nan,0.900953,1.132348,0.071881
132,2.200889,1,nan,nan,nan,0.893645,1.135571,0.070994
133,2.217563,1,nan,nan,nan,0.897197,1.127336,0.068691
134,2.234236,1,nan,nan,nan,0.899986,1.120557,0.067424
135,2.250910,1,nan,nan,nan,0.898510,1.112285,0.069501
136,2.267583,1,nan,nan,nan,0.891741,1.110647,0.070642
137,2.284256,1,nan,nan,nan,0.891184,1.106766,0.068862
138,2.300930,1,nan,nan,nan,0.894687,1.103157,0.068783
139,2.317603,1,nan,nan,nan,0.888554,1.099529,0.069184
140,2.334277,1,nan,nan,nan,0.890410,1.089632,0.068499
141,2.350950,1,nan,nan,nan,0.888410,1.084328,0.068853
142,2.367623,1,nan,nan,nan,0.895223,1.073838,0.068493
143,2.384297,1,nan,nan,nan,0.892596,1.060595,0.068020
144,2.400970,1,nan,nan,nan,0.891258,1.051821,0.068334
145,2.417644,1,nan,nan,nan,0.889047,1.043262,0.068894
146,2.434317,1,nan,nan,nan,0.887060,1.041129,0.066591
147,2.450990,1,nan,nan,nan,0.885124,1.042534,0.066343
148,2.467664,1,nan,nan,nan,0.884910,1.039807,0.066147
149,2.484337,1,nan,nan,nan,0.881167,1.034780,0.065274
150,2.501011,1,nan,nan,nan,0.881366,1.029869,0.065868
151,2.517684,1,nan,nan,nan,0.879344,1.024157,0.065711
152,2.534357,1,nan,nan,nan,0.880911,1.016945,0.066023
153,2.551031,1,nan,nan,nan,0.880297,1.015283,0.065940
154,2.567704,1,nan,nan,nan,0.879120,1.012406,0.064836
155,2.584378,1,nan,nan,nan,0.880019,1.007503,0.064265
156,2.601051,1,nan,nan,nan,0.879160,1.004725,0.062751
157,2.617724,1,nan,nan,nan,0.880143,1.004588,0.063883
158,2.634398,1,nan,nan,nan,0.880176,1.004536,0.062344
